https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1704931200,2024-01-11 00:00:00,ETH/USD,2585.7,2592.3,2571.4,2588.8,121.47885015,314484.44726832
1704844800,2024-01-10 00:00:00,ETH/USD,2346.7,2644.0,2341.6,2584.8,19906.79378160,51455080.56667969
1704758400,2024-01-09 00:00:00,ETH/USD,2333.5,2371.8,2228.7,2345.1,6802.99588141,15953705.64149459
1704672000,2024-01-08 00:00:00,ETH/USD,2222.7,2360.5,2168.0,2332.7,7471.55081370,17428886.583117988
1704585600,2024-01-07 00:00:00,ETH/USD,2241.7,2258.0,2207.3,2222.8,4858.45209246,10799367.31112009
1704499200,2024-01-06 00:00:00,ETH/USD,2270.0,2272.0,2217.0,2241.5,3852.87144982,8636211.35477153
1704412800,2024-01-05 00:00:00,ETH/USD,2271.1,2278.5,2207.8,2269.4,7253.33311402,16460714.168956988
1704326400,2024-01-04 00:00:00,ETH/USD,2209.2,2296.5,2205.1,2269.6,6977.57332053,15836300.408274887
1704240000,2024-01-03 00:00:00,ETH/USD,2357.2,2386.3,2101.0,2210.9,13430.12776834,29692669.48302291
1704153600,2024-01-02 00:00:00,ETH/USD,2351.6,2433.3,2342.4,2356.5,7573.11764881,17846051.739420764
1704067200,2024-01-01 00:00:00,ETH/USD,2282.1,2352.9,2266.0,2352.5,5435.02115359,12785887.263820475
1703980800,2023-12-31 00:00:00,ETH/USD,2292.0,2320.5,2260.0,2280.9,1999.57910335,4560839.976831015
1703894400,2023-12-30 00:00:00,ETH/USD,2299.5,2322.7,2269.2,2292.1,1952.73150285,4475855.877682485
1703808000,2023-12-29 00:00:00,ETH/USD,2345.3,2387.6,2257.2,2299.6,12484.32309445,28708949.387997217
1703721600,2023-12-28 00:00:00,ETH/USD,2382.2,2447.2,2336.6,2345.5,9724.44267479,22808680.293719944
1703635200,2023-12-27 00:00:00,ETH/USD,2231.7,2393.1,2212.8,2380.6,17842.74708979,42476443.72195407
1703548800,2023-12-26 00:00:00,ETH/USD,2271.7,2275.7,2178.2,2231.0,5700.32430675,12717423.52835925
1703462400,2023-12-25 00:00:00,ETH/USD,2264.4,2305.0,2255.1,2272.1,2429.07294552,5519096.639515991
1703376000,2023-12-24 00:00:00,ETH/USD,2310.4,2326.7,2246.3,2264.7,2261.22729439,5121001.453605033
1703289600,2023-12-23 00:00:00,ETH/USD,2327.8,2332.5,2268.4,2309.6,3911.07559418,9033020.192318127
1703203200,2023-12-22 00:00:00,ETH/USD,2239.9,2342.3,2232.3,2326.4,6615.44975998,15390182.321617471
1703116800,2023-12-21 00:00:00,ETH/USD,2202.3,2279.1,2183.4,2240.0,6448.55053793,14444753.2049632
1703030400,2023-12-20 00:00:00,ETH/USD,2177.4,2264.7,2158.7,2202.3,9130.10404584,20107228.140153434
1702944000,2023-12-19 00:00:00,ETH/USD,2219.2,2253.9,2135.8,2177.5,5399.02568167,11756378.421836426
1702857600,2023-12-18 00:00:00,ETH/USD,2194.9,2223.1,2115.7,2218.2,8458.25168616,18762093.89024011
1702771200,2023-12-17 00:00:00,ETH/USD,2227.3,2246.1,2190.7,2194.8,1431.23789068,3141280.9224644643
1702684800,2023-12-16 00:00:00,ETH/USD,2221.3,2262.2,2211.6,2227.3,2132.14260871,4748921.232379783
1702598400,2023-12-15 00:00:00,ETH/USD,2316.7,2318.2,2202.5,2220.6,4881.53528577,10839937.255580861
1702512000,2023-12-14 00:00:00,ETH/USD,2261.0,2332.7,2227.2,2315.7,7036.01517453,16293300.339659119
1702425600,2023-12-13 00:00:00,ETH/USD,2203.0,2283.8,2145.6,2260.7,4742.59755435,10721590.291119045
1702339200,2023-12-12 00:00:00,ETH/USD,2224.0,2242.9,2165.4,2201.2,6140.41819899,13516288.539616786
1702252800,2023-12-11 00:00:00,ETH/USD,2352.6,2355.0,2145.0,2224.4,8275.30204022,18407581.85826537
1702166400,2023-12-10 00:00:00,ETH/USD,2340.2,2376.9,2324.0,2352.3,1805.63227425,4247388.7987182755
1702080000,2023-12-09 00:00:00,ETH/USD,2360.1,2403.1,2329.9,2340.2,4377.87208744,10245096.259027086
1701993600,2023-12-08 00:00:00,ETH/USD,2358.8,2392.4,2339.2,2359.0,6322.51132822,14914804.22327098
1701907200,2023-12-07 00:00:00,ETH/USD,2232.8,2383.5,2222.6,2358.3,7659.02501550,18062278.694053654
1701820800,2023-12-06 00:00:00,ETH/USD,2295.2,2312.1,2221.3,2233.4,6474.33098656,14459770.825383106
1701734400,2023-12-05 00:00:00,ETH/USD,2240.2,2310.4,2189.2,2293.9,5311.71698818,12184547.599186102
1701648000,2023-12-04 00:00:00,ETH/USD,2193.6,2274.4,2192.4,2243.8,8588.35813865,19270557.99150287
1701561600,2023-12-03 00:00:00,ETH/USD,2166.9,2218.0,2151.1,2194.1,3930.89906862,8624785.646459142
1701475200,2023-12-02 00:00:00,ETH/USD,2088.6,2188.5,2087.2,2165.8,3234.17160371,7004568.859315119
1701388800,2023-12-01 00:00:00,ETH/USD,2053.1,2110.7,2046.1,2088.7,8232.54928194,17195325.685188077
1701302400,2023-11-30 00:00:00,ETH/USD,2028.8,2055.5,2022.3,2053.8,6750.04182450,13863235.899158102
1701216000,2023-11-29 00:00:00,ETH/USD,2049.2,2075.7,2020.6,2029.4,2652.90786522,5383811.221677468
1701129600,2023-11-28 00:00:00,ETH/USD,2027.6,2075.9,1995.9,2049.5,11164.16233198,22880950.69939301
1701043200,2023-11-27 00:00:00,ETH/USD,2063.6,2072.1,1986.9,2027.9,5171.98832851,10488275.13138543
1700956800,2023-11-26 00:00:00,ETH/USD,2084.5,2095.0,2039.3,2062.6,3231.11789363,6664503.767401237
1700870400,2023-11-25 00:00:00,ETH/USD,2083.0,2092.3,2068.4,2084.2,1020.75740942,2127462.5927131637
1700784000,2023-11-24 00:00:00,ETH/USD,2062.3,2133.6,2060.1,2082.9,7485.18869874,15590899.540605547
1700697600,2023-11-23 00:00:00,ETH/USD,2063.5,2088.9,2041.0,2062.7,2173.68290402,4483655.726122053
1700611200,2023-11-22 00:00:00,ETH/USD,1932.7,2092.7,1931.0,2064.4,8450.70565482,17445636.75381041
1700524800,2023-11-21 00:00:00,ETH/USD,2022.9,2036.1,1933.0,1934.3,5486.50698279,10612550.456810696
1700438400,2023-11-20 00:00:00,ETH/USD,2013.3,2067.3,1993.2,2023.0,9309.69163171,18833506.170949332
1700352000,2023-11-19 00:00:00,ETH/USD,1963.8,2017.3,1945.0,2012.2,4279.91486129,8612044.683887739
1700265600,2023-11-18 00:00:00,ETH/USD,1960.9,1972.1,1918.8,1963.4,1066.50817039,2093982.141743726
1700179200,2023-11-17 00:00:00,ETH/USD,1962.1,1991.3,1906.7,1962.0,13829.29130670,27133069.543745402
1700092800,2023-11-16 00:00:00,ETH/USD,2060.4,2092.2,1940.4,1962.4,11120.88371199,21823622.196409177
