trading_point,open,high,low,close,volume
2017-11-09,322.15,331.7,317.29,321.32,13118.15
2017-11-10,321.32,325.61,291.0,298.66,34411.65
2017-11-11,298.66,322.19,298.0,315.76,23836.74
2017-11-12,315.76,318.98,300.11,306.1,48200.8
2017-11-13,306.1,320.69,305.91,316.14,36613.5
2017-11-14,315.81,340.99,314.95,335.54,48769.57
2017-11-15,335.54,340.0,323.19,331.88,27052.55
2017-11-16,331.88,335.16,321.0,329.91,34360.48
2017-11-17,329.91,334.86,325.0,331.25,24845.12
2017-11-18,331.25,349.31,326.3,346.96,26074.43
2017-11-19,346.96,372.0,344.01,354.48,32139.68
2017-11-20,354.48,372.88,350.0,366.0,28170.7
2017-11-21,366.0,372.94,345.52,359.6,51067.56
2017-11-22,359.6,383.94,358.33,380.88,34942.55
2017-11-23,380.88,426.04,370.11,406.75,77408.69
2017-11-24,406.75,478.99,395.0,471.17,84954.03
2017-11-25,471.17,483.0,451.0,463.0,31084.17
2017-11-26,463.0,472.76,438.09,467.0,29143.14
2017-11-27,467.0,487.0,456.24,474.67,53900.59
2017-11-28,474.67,478.15,457.61,464.95,49678.07
2017-11-29,464.95,519.23,405.0,423.9,116769.92
2017-11-30,423.9,455.99,388.0,435.09,59144.71
2017-12-01,435.09,469.4,415.16,460.3,30626.87
2017-12-02,460.3,472.32,447.0,456.04,23203.04
2017-12-03,456.04,482.8,441.02,463.0,33041.92
2017-12-04,463.0,473.9,446.2,467.83,31067.36
2017-12-05,467.83,471.9,450.49,455.76,22812.03
2017-12-06,455.76,459.85,405.88,415.83,50979.87
2017-12-07,415.83,436.42,400.0,411.03,48889.8
2017-12-08,411.03,454.85,391.0,440.27,58296.63
2017-12-09,440.27,497.99,433.0,456.38,48252.92
2017-12-10,456.38,459.44,401.33,425.07,29510.03
2017-12-11,425.07,505.0,421.17,503.47,44543.45
2017-12-12,503.47,645.55,487.0,620.59,95283.01
2017-12-13,620.59,742.23,585.0,694.5,127713.17
2017-12-14,694.5,745.0,647.5,689.69,89396.17
2017-12-15,689.69,692.5,601.13,676.36,54771.22
2017-12-16,676.36,711.77,665.5,684.0,23905.72
2017-12-17,684.0,726.0,683.06,706.91,27771.42
2017-12-18,706.91,800.39,671.56,787.28,57460.08
2017-12-19,787.28,870.0,772.91,817.72,87098.13
2017-12-20,817.72,833.67,721.02,797.1,81483.02
2017-12-21,797.1,842.73,752.0,783.8,75451.39
2017-12-22,783.8,792.5,501.0,669.36,164428.2
2017-12-23,669.36,755.0,649.57,699.86,40879.14
2017-12-24,699.86,704.93,604.19,686.96,45120.39
2017-12-25,686.96,750.0,684.0,724.0,42706.02
2017-12-26,724.0,765.0,716.7,751.09,24164.54
2017-12-27,751.09,770.0,704.54,738.78,53760.85
2017-12-28,738.78,739.8,666.0,717.23,40099.34
2017-12-29,717.23,758.0,709.0,732.67,44816.84
2017-12-30,732.67,740.72,659.06,698.46,59596.87
2017-12-31,698.46,759.08,687.03,743.48,24771.96
2018-01-01,743.48,768.87,722.02,752.78,29181.94
2018-01-02,752.78,888.0,752.78,858.6,67628.49
2018-01-03,858.6,950.0,850.0,940.4,57117.21
2018-01-04,940.4,999.91,895.52,940.0,77160.74
2018-01-05,940.0,1022.0,924.69,966.0,52023.54
2018-01-06,966.0,1009.22,950.01,1004.27,29967.36
2018-01-07,1004.27,1118.72,1000.0,1117.96,47293.11
2018-01-08,1117.96,1229.76,964.0,1130.0,109477.59
2018-01-09,1130.0,1301.0,1115.0,1287.47,102885.38
2018-01-10,1287.47,1378.99,1187.96,1240.48,96347.51
2018-01-11,1240.48,1334.33,1100.0,1135.0,95639.75
2018-01-12,1135.0,1288.34,1080.59,1258.68,46451.21
2018-01-13,1258.68,1420.0,1256.0,1384.78,41803.41
2018-01-14,1384.78,1389.0,1265.0,1359.59,35328.24
2018-01-15,1359.59,1379.0,1269.0,1276.71,33997.65
2018-01-16,1276.71,1281.16,862.11,1057.88,127923.05
2018-01-17,1057.88,1109.58,761.61,1029.22,179200.0
2018-01-18,1029.22,1105.0,951.12,1024.69,96056.34
2018-01-19,1024.69,1095.0,995.01,1036.03,49838.57
2018-01-20,1036.03,1171.0,1036.03,1150.0,31922.41
2018-01-21,1150.0,1151.0,1008.0,1049.09,37050.56
2018-01-22,1049.09,1092.0,917.0,997.21,48389.73
2018-01-23,997.21,1024.98,905.0,983.7,61938.03
2018-01-24,983.7,1069.65,957.69,1065.0,44493.76
2018-01-25,1065.0,1105.0,1014.48,1050.0,62196.24
2018-01-26,1050.0,1075.9,984.0,1051.81,39359.62
2018-01-27,1051.81,1126.01,1034.45,1115.51,29317.95
2018-01-28,1115.51,1240.0,1099.76,1229.41,29175.42
2018-01-29,1229.41,1239.0,1141.0,1168.0,40475.91
2018-01-30,1168.0,1172.0,1025.77,1051.54,61847.15
2018-01-31,1051.54,1118.88,1010.77,1110.14,34149.47
