trading_point,open,high,low,close,volume
2018-05-15,732.1,736.67,730.94,733.0,1043.91
2018-05-15,700.99,710.15,699.05,707.38,255.89
2018-05-15,707.84,711.29,695.74,700.99,1029.83
2018-05-15,712.48,714.44,707.39,707.84,156.07
2018-05-15,713.0,714.99,709.41,712.48,418.57
2018-05-15,712.39,715.69,707.28,713.0,1008.66
2018-05-15,717.18,717.2,707.83,712.39,1272.49
2018-05-15,723.75,731.0,713.82,717.18,1881.71
2018-05-15,720.64,732.0,716.88,723.75,1305.7
2018-05-15,733.0,735.99,730.45,733.82,353.82
2018-05-15,728.96,729.42,708.87,711.86,2772.44
2018-05-15,733.8,734.16,726.08,728.96,934.34
2018-05-15,730.24,734.74,729.57,733.8,370.95
2018-05-15,733.59,737.14,728.53,730.24,1447.43
2018-05-15,727.32,739.37,725.04,733.59,1943.15
2018-05-15,731.68,731.82,726.98,727.32,601.03
2018-05-15,733.82,734.92,721.58,731.68,3924.55
2018-05-15,711.86,722.34,708.32,720.64,1350.03
2018-05-16,691.91,702.08,691.68,697.31,1899.69
2018-05-16,697.31,703.0,689.41,694.82,994.99
2018-05-16,694.82,699.0,692.64,693.53,1121.93
2018-05-16,693.53,702.84,693.42,696.72,1175.46
2018-05-16,693.6,704.49,693.6,700.31,271.53
2018-05-16,695.5,697.8,692.92,695.6,253.5
2018-05-16,695.6,695.7,691.83,693.6,80.36
2018-05-16,704.01,705.29,674.57,683.74,2676.72
2018-05-16,700.31,708.46,700.31,706.88,2455.94
2018-05-16,696.72,703.99,695.5,695.5,753.4
2018-05-16,706.0,709.87,702.26,704.01,589.15
2018-05-16,683.74,694.51,683.66,691.91,939.76
2018-05-16,692.3,708.62,692.3,702.61,2173.23
2018-05-16,702.61,712.0,701.45,706.0,421.29
2018-05-16,701.99,701.99,690.04,692.87,1296.47
2018-05-16,692.87,692.99,675.51,681.36,2223.96
2018-05-16,681.36,692.14,679.08,679.76,1247.88
2018-05-16,679.76,690.99,679.75,685.99,771.93
2018-05-16,707.38,710.09,698.35,701.99,393.21
2018-05-16,684.28,688.78,682.65,686.67,556.14
2018-05-16,686.67,694.43,685.79,691.57,399.59
2018-05-16,691.57,691.57,682.76,687.88,1030.33
2018-05-16,687.88,693.65,684.38,692.3,217.24
2018-05-16,685.99,686.6,680.2,684.28,250.8
2018-05-17,701.0,706.52,700.99,705.1,781.57
2018-05-17,671.52,674.96,663.76,669.04,1688.63
2018-05-17,678.96,678.96,660.65,671.52,4184.55
2018-05-17,685.76,687.0,677.33,678.96,110.15
2018-05-17,683.01,689.8,683.01,685.76,761.22
